@relation explaining_humans

@attribute iter integer
@attribute user string
@attribute tf string
@attribute score numeric
@attribute PFdist numeric
@attribute acr numeric
@attribute class {Pareto,Not-Pareto}
@attribute scaled_acr numeric

@data
6,A12FWV00JX3IUZ,bukin6,-113.986325751525,0.228404395730862,-80.8090860635777,Not-Pareto,0
7,A12FWV00JX3IUZ,bukin6,-53.6746709486174,4.4368733594309,-75.3822030405857,Not-Pareto,0.179260475407662
8,A12FWV00JX3IUZ,bukin6,-87.7284961204895,8.78895297234697,-77.439918553903,Not-Pareto,0.111290139653565
9,A12FWV00JX3IUZ,bukin6,-48.3896076924517,13.4358385886884,-73.2898741451242,Not-Pareto,0.248374158330353
10,A12FWV00JX3IUZ,bukin6,-28.0960899379883,9.49477122623806,-67.6406511192322,Not-Pareto,0.434978955414588
11,A12FWV00JX3IUZ,bukin6,-37.7398533723375,13.401911499257,-64.3183402584661,Not-Pareto,0.544721329044121
12,A12FWV00JX3IUZ,bukin6,-7.57981370170685,6.54252873614544,-58.6444876027902,Not-Pareto,0.732139690586163
13,A12FWV00JX3IUZ,bukin6,-69.468215725796,15.4255168513849,-59.6284628866998,Not-Pareto,0.699637077864325
14,A12FWV00JX3IUZ,bukin6,-13.676171388985,15.1286789537624,-55.7991052618903,Not-Pareto,0.826128189874853
15,A12FWV00JX3IUZ,bukin6,-18.0162651372652,18.296866649652,-52.8927329446114,Not-Pareto,0.922131306415188
16,A12FWV00JX3IUZ,bukin6,-28.115352333221,10.8259709145586,-51.1229200437978,Not-Pareto,0.980591660293895
17,A12FWV00JX3IUZ,bukin6,-42.3094778433351,7.81351341509079,-50.5353572304336,Not-Pareto,1
18,A12FWV00JX3IUZ,bukin6,-58.5286927420298,11.4116494585456,-51.0349406999084,Not-Pareto,0.983497788718785
19,A12FWV00JX3IUZ,bukin6,-67.70918301583,0.039650230498924,-52.0157784831979,Not-Pareto,0.951098813729762
3,A12FWV00JX3IUZ,goldpr,-0.411850627379723,0.123108484436865,-0.411850627379723,Not-Pareto,1
4,A12FWV00JX3IUZ,goldpr,-1.27669029998029,0.926523656766093,-0.844270463680006,Not-Pareto,0.79213787319333
5,A12FWV00JX3IUZ,goldpr,-2.30923890379322,1.08350268406856,-1.33259327705108,Not-Pareto,0.557403455309131
6,A12FWV00JX3IUZ,goldpr,-0.281593706281158,1.36386750087632,-1.0698433843586,Not-Pareto,0.683706059696032
7,A12FWV00JX3IUZ,goldpr,-2.57674998708135,0.737398407738596,-1.37122470490315,Not-Pareto,0.538833514522849
8,A12FWV00JX3IUZ,goldpr,-4.2822071526934,0.87859953631479,-1.85638844620152,Not-Pareto,0.305617647326298
9,A12FWV00JX3IUZ,goldpr,-3.69061535951505,1.39288945471641,-2.11842086238917,Not-Pareto,0.179659930429999
10,A12FWV00JX3IUZ,goldpr,-1.97435482493351,1.61873554269372,-2.10041260770721,Not-Pareto,0.188316411479283
11,A12FWV00JX3IUZ,goldpr,-0.347457513788376,0.77082041072895,-1.90563981949401,Not-Pareto,0.281942750059059
12,A12FWV00JX3IUZ,goldpr,-0.832612850040596,1.91657906029462,-1.79833712254867,Not-Pareto,0.333522638229734
13,A12FWV00JX3IUZ,goldpr,-0.816585631550079,1.64671184878628,-1.70908698700334,Not-Pareto,0.376424747325748
14,A12FWV00JX3IUZ,goldpr,-0.989873472750946,0.760923799702084,-1.64915252748231,Not-Pareto,0.405234952545841
15,A12FWV00JX3IUZ,goldpr,-5.03836911903785,1.36502205302139,-1.9098614960635,Not-Pareto,0.279913410521972
16,A12FWV00JX3IUZ,goldpr,-5.74097168579465,0.639393530744401,-2.18351222390144,Not-Pareto,0.148370827329541
17,A12FWV00JX3IUZ,goldpr,-4.56118205360948,0.776429248854825,-2.34202354588198,Not-Pareto,0.0721752004320487
18,A12FWV00JX3IUZ,goldpr,-2.69239846174646,0.465395712776358,-2.36392197812351,Not-Pareto,0.0616487298186718
19,A12FWV00JX3IUZ,goldpr,-4.54415692096513,1.53624916091382,-2.49217109240831,Not-Pareto,0
3,A12FWV00JX3IUZ,griewank,-1.02669595235047,3.64327485833791e-05,-1.02669595235047,Pareto,1
4,A12FWV00JX3IUZ,griewank,-1.26919061948017,0.125783206146912,-1.14794328591532,Not-Pareto,0.609300695785216
5,A12FWV00JX3IUZ,griewank,-1.62803000108498,0,-1.30797219097187,Pareto,0.0936342475296094
6,A12FWV00JX3IUZ,griewank,-1.02805898648919,0,-1.2379938898512,Pareto,0.319127648119367
7,A12FWV00JX3IUZ,griewank,-1.60592429328986,0,-1.31157997053893,Pareto,0.0820087797756568
8,A12FWV00JX3IUZ,griewank,-0.811830394777258,0,-1.22828837457865,Pareto,0.350402051873593
9,A12FWV00JX3IUZ,griewank,-1.98948041676818,0,-1.33703009489144,Pareto,0
10,A12FWV00JX3IUZ,griewank,-1.00121969277135,0,-1.29505379462643,Pareto,0.135261624522895
11,A12FWV00JX3IUZ,griewank,-1.24377611293865,0,-1.2893562744389,Pareto,0.153620932786179
12,A12FWV00JX3IUZ,griewank,-1.67631378828923,0,-1.32805202582393,Pareto,0.0289303297213742
13,A12FWV00JX3IUZ,griewank,-0.254943607294074,0,-1.23049671504849,Pareto,0.343286043136186
14,A12FWV00JX3IUZ,griewank,-1.7423011553799,0,-1.27314708507611,Pareto,0.205852341261162
15,A12FWV00JX3IUZ,griewank,-1.24467320898712,0,-1.27095678691542,Pareto,0.212910211667421
16,A12FWV00JX3IUZ,griewank,-0.538706848307812,0,-1.21865321987202,Pareto,0.381449730442719
17,A12FWV00JX3IUZ,griewank,-1.92358749930656,0,-1.26564883850099,Pareto,0.23001418988577
18,A12FWV00JX3IUZ,griewank,-1.07575585073137,0,-1.25378052676539,Pareto,0.268257844413838
19,A12FWV00JX3IUZ,griewank,-1.15187867792922,0,-1.24778630036326,Pareto,0.287573238952923
3,A12FWV00JX3IUZ,levy,-4.1821515089081,0,-4.1821515089081,Pareto,1
4,A12FWV00JX3IUZ,levy,-52.7235750596081,0.0201498010773662,-28.4528632842581,Not-Pareto,0
5,A12FWV00JX3IUZ,levy,-11.7222284670706,0,-22.8759850118623,Pareto,0.229778109682793
6,A12FWV00JX3IUZ,levy,-9.76851797068658,0,-19.5991182515683,Pareto,0.364791321929086
7,A12FWV00JX3IUZ,levy,-28.3105110137165,0,-21.341396803998,Pareto,0.293006095003885
8,A12FWV00JX3IUZ,levy,-13.19851045352,0,-19.9842490789183,Pareto,0.348923191199557
9,A12FWV00JX3IUZ,levy,-19.2558591145603,0,-19.8801933697243,Pareto,0.35321048652724
10,A12FWV00JX3IUZ,levy,-32.9475084470862,0,-21.5136077543945,Pareto,0.285910672669734
11,A12FWV00JX3IUZ,levy,-2.75416602922467,0.00217988011279618,-19.4292253404868,Not-Pareto,0.371791236585652
12,A12FWV00JX3IUZ,levy,-17.7117554597952,1.00733848210254,-19.2574783524176,Not-Pareto,0.378867542779671
13,A12FWV00JX3IUZ,levy,-8.21586188271198,0,-18.2536950369898,Pareto,0.420225345744776
14,A12FWV00JX3IUZ,levy,-13.6356150134902,4.04785420816884,-17.8688550350315,Not-Pareto,0.436081493908884
15,A12FWV00JX3IUZ,levy,-13.6280716602772,3.60069458706286,-17.5426409292812,Not-Pareto,0.449522142406125
16,A12FWV00JX3IUZ,levy,-8.7932122928467,0,-16.9176817409645,Pareto,0.475271662819922
17,A12FWV00JX3IUZ,levy,-8.62887212357821,0,-16.3650944331387,Pareto,0.498039322579574
18,A12FWV00JX3IUZ,levy,-13.0163843870105,4.22356408979786,-16.1558000552557,Not-Pareto,0.506662653441076
19,A12FWV00JX3IUZ,levy,-13.6114792190242,6.53285582675245,-16.0061341237127,Not-Pareto,0.512829177642276
3,A12FWV00JX3IUZ,rastr,-44.1002422118198,0,-44.1002422118198,Pareto,0
4,A12FWV00JX3IUZ,rastr,-26.0624299219399,0,-35.0813360668798,Pareto,0.819061218681576
5,A12FWV00JX3IUZ,rastr,-38.0025630618121,0.000136191962127379,-36.0550783985239,Not-Pareto,0.730629809370847
6,A12FWV00JX3IUZ,rastr,-38.4419303265745,0.701279812658287,-36.6517913805366,Not-Pareto,0.676438707434987
7,A12FWV00JX3IUZ,rastr,-24.048695196882,1.59472263795336,-34.1311721438057,Not-Pareto,0.90535133061683
